"geoname","statepostal","fips","seriesid","purpose","year","quarter","value"
"Denton County","TX","48121","COUNT","Purchase",2017,3,4038
"Denton County","TX","48121","COUNT","Refinance",2017,3,2172
"Denton County","TX","48121","COUNT","Both",2017,3,6210
"Denton County","TX","48121","COUNT","Purchase",2017,4,3409
"Denton County","TX","48121","COUNT","Refinance",2017,4,1986
"Denton County","TX","48121","COUNT","Both",2017,4,5395
"Denton County","TX","48121","COUNT","Purchase",2018,5,14758
"Denton County","TX","48121","COUNT","Refinance",2018,5,6157
"Denton County","TX","48121","COUNT","Both",2018,5,20915
"Denton County","TX","48121","COUNT","Purchase",2018,1,3384
"Denton County","TX","48121","COUNT","Refinance",2018,1,1701
"Denton County","TX","48121","COUNT","Both",2018,1,5085
"Denton County","TX","48121","COUNT","Purchase",2018,2,4407
"Denton County","TX","48121","COUNT","Refinance",2018,2,1669
"Denton County","TX","48121","COUNT","Both",2018,2,6076
"Denton County","TX","48121","COUNT","Purchase",2018,3,3868
"Denton County","TX","48121","COUNT","Refinance",2018,3,1518
"Denton County","TX","48121","COUNT","Both",2018,3,5386
"Denton County","TX","48121","COUNT","Purchase",2018,4,3099
"Denton County","TX","48121","COUNT","Refinance",2018,4,1269
"Denton County","TX","48121","COUNT","Both",2018,4,4368
"Denton County","TX","48121","COUNT","Purchase",2019,5,14963
"Denton County","TX","48121","COUNT","Refinance",2019,5,10135
"Denton County","TX","48121","COUNT","Both",2019,5,25098
"Denton County","TX","48121","COUNT","Purchase",2019,1,3222
"Denton County","TX","48121","COUNT","Refinance",2019,1,1384
"Denton County","TX","48121","COUNT","Both",2019,1,4606
"Denton County","TX","48121","COUNT","Purchase",2019,2,4432
"Denton County","TX","48121","COUNT","Refinance",2019,2,2174
"Denton County","TX","48121","COUNT","Both",2019,2,6606
"Denton County","TX","48121","COUNT","Purchase",2019,3,3976
"Denton County","TX","48121","COUNT","Refinance",2019,3,3526
"Denton County","TX","48121","COUNT","Both",2019,3,7502
"Denton County","TX","48121","COUNT","Purchase",2019,4,3333
"Denton County","TX","48121","COUNT","Refinance",2019,4,3051
"Denton County","TX","48121","COUNT","Both",2019,4,6384
"Denton County","TX","48121","COUNT","Purchase",2020,5,16944
"Denton County","TX","48121","COUNT","Refinance",2020,5,19231
"Denton County","TX","48121","COUNT","Both",2020,5,36175
"Denton County","TX","48121","COUNT","Purchase",2020,1,3569
"Denton County","TX","48121","COUNT","Refinance",2020,1,4461
"Denton County","TX","48121","COUNT","Both",2020,1,8030
"Denton County","TX","48121","MEDIAN","Purchase",2013,5,254000
"Denton County","TX","48121","MEDIAN","Refinance",2013,5,249800
"Denton County","TX","48121","MEDIAN","Both",2013,5,251000
"Denton County","TX","48121","MEDIAN","Purchase",2013,1,240000
"Denton County","TX","48121","MEDIAN","Both",2014,5,262000
"Denton County","TX","48121","MEDIAN","Purchase",2014,1,260000
"Denton County","TX","48121","MEDIAN","Refinance",2014,1,226000
"Denton County","TX","48121","MEDIAN","Both",2014,1,251300
"Denton County","TX","48121","MEDIAN","Purchase",2014,2,265000
"Denton County","TX","48121","MEDIAN","Refinance",2014,2,244000
"Denton County","TX","48121","MEDIAN","Both",2014,2,259500
"Denton County","TX","48121","MEDIAN","Purchase",2014,3,265000
"Denton County","TX","48121","MEDIAN","Refinance",2014,3,248000
"Denton County","TX","48121","MEDIAN","Both",2014,3,260000
"Denton County","TX","48121","MEDIAN","Purchase",2014,4,280000
"Denton County","TX","48121","MEDIAN","Refinance",2014,4,275000
"Denton County","TX","48121","MEDIAN","Both",2014,4,278000
"Denton County","TX","48121","MEDIAN","Purchase",2015,5,289000
"Denton County","TX","48121","MEDIAN","Refinance",2015,5,280000
"Denton County","TX","48121","MEDIAN","Both",2015,5,285000
"Denton County","TX","48121","MEDIAN","Purchase",2015,1,280000
"Denton County","TX","48121","MEDIAN","Refinance",2015,1,285000
"Denton County","TX","48121","MEDIAN","Both",2015,1,283000
"Denton County","TX","48121","MEDIAN","Purchase",2015,2,289000
"Denton County","TX","48121","MEDIAN","Refinance",2015,2,275000
"Denton County","TX","48121","MEDIAN","Both",2015,2,285000
"Denton County","TX","48121","MEDIAN","Purchase",2015,3,281000
"Denton County","TX","48121","MEDIAN","Refinance",2015,3,278000
"Denton County","TX","48121","MEDIAN","Both",2015,3,280000
"Denton County","TX","48121","MEDIAN","Purchase",2015,4,305000
"Denton County","TX","48121","MEDIAN","Refinance",2015,4,280000
"Denton County","TX","48121","MEDIAN","Both",2015,4,295000
"Denton County","TX","48121","MEDIAN","Purchase",2016,5,316000
"Denton County","TX","48121","MEDIAN","Refinance",2013,1,254000
"Denton County","TX","48121","MEDIAN","Both",2013,1,250000
"Denton County","TX","48121","MEDIAN","Purchase",2013,2,255000
"Denton County","TX","48121","MEDIAN","Refinance",2013,2,259200
"Denton County","TX","48121","MEDIAN","Both",2013,2,257000
"Denton County","TX","48121","MEDIAN","Purchase",2013,3,255500
"Denton County","TX","48121","MEDIAN","Refinance",2013,3,226000
"Denton County","TX","48121","MEDIAN","Both",2013,3,245000
"Denton County","TX","48121","MEDIAN","Purchase",2013,4,262000
"Denton County","TX","48121","MEDIAN","Refinance",2013,4,236000
"Denton County","TX","48121","MEDIAN","Refinance",2016,5,315000
"Denton County","TX","48121","MEDIAN","Both",2016,5,315000
"Denton County","TX","48121","MEDIAN","Purchase",2016,1,306000
"Denton County","TX","48121","MEDIAN","Refinance",2016,1,302000
"Denton County","TX","48121","MEDIAN","Both",2016,1,305000
"Denton County","TX","48121","MEDIAN","Purchase",2016,2,315000
"Denton County","TX","48121","MEDIAN","Refinance",2016,2,305000
"Denton County","TX","48121","MEDIAN","Both",2016,2,310500
"Denton County","TX","48121","MEDIAN","Purchase",2016,3,320000
"Denton County","TX","48121","MEDIAN","Refinance",2016,3,334000
"Denton County","TX","48121","MEDIAN","Both",2016,3,326600
"Denton County","TX","48121","MEDIAN","Purchase",2016,4,322300
"Denton County","TX","48121","MEDIAN","Refinance",2016,4,307000
"Denton County","TX","48121","MEDIAN","Both",2016,4,317000
"Denton County","TX","48121","MEDIAN","Purchase",2017,5,334000
"Denton County","TX","48121","MEDIAN","Refinance",2017,5,293000
"Denton County","TX","48121","MEDIAN","Both",2017,5,320000
"Denton County","TX","48121","MEDIAN","Purchase",2017,1,325000
"Denton County","TX","48121","MEDIAN","Refinance",2017,1,278000
"Denton County","TX","48121","MEDIAN","Both",2017,1,310000
"Denton County","TX","48121","MEDIAN","Purchase",2017,2,340000
"Denton County","TX","48121","MEDIAN","Refinance",2017,2,292000
"Denton County","TX","48121","MEDIAN","Both",2017,2,323000
"Denton County","TX","48121","MEDIAN","Purchase",2017,3,330500
"Denton County","TX","48121","MEDIAN","Refinance",2017,3,299000
"Denton County","TX","48121","MEDIAN","Both",2017,3,320500
"Denton County","TX","48121","MEDIAN","Purchase",2017,4,337000
"Denton County","TX","48121","MEDIAN","Refinance",2017,4,300000
"Denton County","TX","48121","MEDIAN","Both",2017,4,325000
"Denton County","TX","48121","MEDIAN","Purchase",2018,5,338000
"Denton County","TX","48121","MEDIAN","Refinance",2018,5,290000
"Denton County","TX","48121","MEDIAN","Both",2018,5,325000
"Denton County","TX","48121","MEDIAN","Purchase",2018,1,334000
"Denton County","TX","48121","MEDIAN","Refinance",2018,1,293000
"Denton County","TX","48121","MEDIAN","Both",2018,1,320000
"Denton County","TX","48121","MEDIAN","Purchase",2018,2,340000
"Denton County","TX","48121","MEDIAN","Refinance",2018,2,292000
"Denton County","TX","48121","MEDIAN","Both",2018,2,328500
"Denton County","TX","48121","MEDIAN","Purchase",2018,3,337800
"Denton County","TX","48121","MEDIAN","Refinance",2018,3,286000
"Denton County","TX","48121","MEDIAN","Both",2018,3,323000
"Denton County","TX","48121","MEDIAN","Purchase",2018,4,337000
"Denton County","TX","48121","MEDIAN","Refinance",2018,4,295000
"Denton County","TX","48121","MEDIAN","Both",2018,4,325000
"Denton County","TX","48121","MEDIAN","Purchase",2019,5,340000
"Denton County","TX","48121","MEDIAN","Refinance",2019,5,340000
"Denton County","TX","48121","MEDIAN","Both",2019,5,340000
"Denton County","TX","48121","MEDIAN","Purchase",2019,1,339500
"Denton County","TX","48121","MEDIAN","Refinance",2019,1,300000
"Denton County","TX","48121","MEDIAN","Both",2019,1,327000
"Denton County","TX","48121","MEDIAN","Purchase",2019,2,341000
"Denton County","TX","48121","MEDIAN","Refinance",2019,2,322000
"Denton County","TX","48121","MEDIAN","Both",2019,2,335000
"Denton County","TX","48121","MEDIAN","Purchase",2019,3,340000
"Denton County","TX","48121","MEDIAN","Refinance",2019,3,355800
"Denton County","TX","48121","MEDIAN","Both",2019,3,345000
"Denton County","TX","48121","MEDIAN","Purchase",2019,4,340000
"Denton County","TX","48121","MEDIAN","Refinance",2019,4,348000
"Denton County","TX","48121","MEDIAN","Both",2019,4,343000
"Denton County","TX","48121","MEDIAN","Purchase",2020,5,350000
"Denton County","TX","48121","MEDIAN","Refinance",2020,5,375000
"Denton County","TX","48121","MEDIAN","Both",2013,4,251000
"Denton County","TX","48121","MEDIAN","Purchase",2014,5,267000
"Denton County","TX","48121","MEDIAN","Refinance",2014,5,250000
"Denton County","TX","48121","P25","Purchase",2013,5,177500
"Denton County","TX","48121","MEDIAN","Both",2020,5,362000
"Denton County","TX","48121","MEDIAN","Purchase",2020,1,340000
"Denton County","TX","48121","MEDIAN","Refinance",2020,1,365000
"Denton County","TX","48121","MEDIAN","Both",2020,1,352000
"Denton County","TX","48121","MEDIAN","Purchase",2020,2,347000
"Denton County","TX","48121","MEDIAN","Refinance",2020,2,380000
"Denton County","TX","48121","MEDIAN","Both",2020,2,361000
"Denton County","TX","48121","MEDIAN","Purchase",2020,3,350000
"Denton County","TX","48121","MEDIAN","Refinance",2020,3,378300
"Denton County","TX","48121","MEDIAN","Both",2020,3,365000
"Denton County","TX","48121","MEDIAN","Purchase",2020,4,355000
"Denton County","TX","48121","MEDIAN","Refinance",2020,4,376000
"Denton County","TX","48121","MEDIAN","Both",2020,4,366000
"Denton County","TX","48121","MEDIAN","Purchase",2021,5,406000
"Denton County","TX","48121","MEDIAN","Refinance",2021,5,415000
"Denton County","TX","48121","MEDIAN","Both",2021,5,410000
"Denton County","TX","48121","MEDIAN","Purchase",2021,1,368000
"Denton County","TX","48121","MEDIAN","Refinance",2021,1,382000
"Denton County","TX","48121","MEDIAN","Both",2021,1,375000
"Denton County","TX","48121","MEDIAN","Purchase",2021,2,400000
"Denton County","TX","48121","MEDIAN","Refinance",2021,2,397000
"Denton County","TX","48121","MEDIAN","Both",2021,2,400000
"Denton County","TX","48121","MEDIAN","Purchase",2021,3,412000
"Denton County","TX","48121","MEDIAN","Refinance",2021,3,440000
"Denton County","TX","48121","MEDIAN","Both",2021,3,425000
"Denton County","TX","48121","MEDIAN","Purchase",2021,4,436000
"Denton County","TX","48121","MEDIAN","Refinance",2021,4,438000
"Denton County","TX","48121","MEDIAN","Both",2021,4,437000
"Denton County","TX","48121","MEDIAN","Purchase",2022,5,500000
"Denton County","TX","48121","MEDIAN","Refinance",2022,5,464000
"Denton County","TX","48121","MEDIAN","Both",2022,5,490000
